min_x,max_x,mean_x,std_x,range_x,min_y,max_y,mean_y,std_y,range_y,min_z,max_z,mean_z,std_z,range_z,activity
1940,1986,1961.0884615384616,7.673593436847969,46,2365,2396,2377.5846153846155,5.437300908009521,31,2086,2143,2115.726923076923,11.339208558257086,57,1
1925,1999,1956.1192307692309,12.37435757018219,74,2340,2409,2379.503846153846,9.438890254826001,69,2062,2168,2106.846153846154,18.9259730580083,106,1
1919,1999,1953.2807692307692,12.488837308615135,80,2340,2409,2380.869230769231,9.430000971628704,69,2062,2168,2101.476923076923,17.485665562068267,106,1
1919,1977,1959.7076923076922,10.208971869052563,58,2368,2394,2379.8,5.014881329506687,26,2077,2138,2107.876923076923,10.598328260841985,61,1
1941,1980,1964.1346153846155,5.983338662514563,39,2369,2390,2378.4076923076923,3.633172250243663,21,2086,2135,2113.1,6.042130080305778,49,1
1949,1980,1962.623076923077,4.671883177744541,31,2369,2388,2378.226923076923,3.0336666516170414,19,2096,2127,2113.1346153846152,4.557775172528207,31,1
1948,1978,1961.7076923076922,5.715853660738969,30,2369,2388,2378.3846153846152,3.0093409670778515,19,2099,2127,2112.0692307692307,5.358482556968466,28,1
1948,2005,1970.4384615384615,12.860405156526788,57,2346,2391,2375.9,7.359337304394029,45,2093,2181,2119.8,16.420817374395323,88,1
1925,2005,1966.5115384615385,18.07651747739271,80,2346,2397,2375.523076923077,8.409146871933627,51,2089,2181,2119.523076923077,17.932828499328764,92,1
1925,2004,1961.8461538461538,15.422723814566929,79,2356,2407,2377.6653846153845,7.134095755267254,51,2078,2139,2112.7807692307692,13.767302745586182,61,1
1929,2004,1971.5576923076924,8.77829338814982,75,2359,2407,2375.480769230769,6.232590841310587,48,2078,2139,2120.8076923076924,12.40413192700275,61,1
1957,1985,1971.873076923077,4.761821922851381,28,2359,2402,2374.3346153846155,4.385782779059012,43,2102,2146,2124.6346153846152,5.096099068917884,44,1
1946,2015,1975.3384615384616,8.714744835437097,69,2348,2407,2374.007692307692,7.564391437519467,59,2102,2158,2128.1615384615384,8.896924848242326,56,1
1946,2015,1979.303846153846,8.195251509999393,69,2348,2407,2372.480769230769,7.691670229006891,59,2106,2158,2133.2,7.868023354425907,52,1
1959,2000,1978.426923076923,5.4374688703539,41,2358,2390,2372.3076923076924,4.882948273654335,32,2117,2152,2132.5923076923077,5.2742488771104865,35,1
1963,1987,1977.746153846154,3.6003250356516925,24,2360,2390,2372.3884615384613,3.7703196635445075,30,2118,2144,2131.380769230769,3.6164061205004656,26,1
1962,1985,1976.5,3.760699023168052,23,2363,2382,2372.55,3.245638594201438,19,2120,2139,2130.2961538461536,3.5391883074871666,19,1
1962,1992,1975.8384615384616,4.620424433785488,30,2353,2395,2372.5692307692307,4.365428347478018,42,2117,2151,2130.2807692307692,4.853253434972143,34,1
1965,1992,1975.5576923076924,4.573777286820891,27,2353,2395,2372.630769230769,4.332936553232597,42,2117,2151,2130.1615384615384,5.368007397117054,34,1
1966,1985,1973.9423076923076,3.4406914404458866,19,2365,2384,2373.480769230769,3.058568473132669,19,2119,2142,2127.646153846154,4.2351015969024335,23,1
1965,1980,1972.8076923076924,2.885447855326678,15,2365,2380,2373.9153846153845,2.7468047154714412,15,2119,2133,2125.980769230769,2.892477159187971,14,1
1962,1981,1972.3923076923077,3.0044912426178954,19,2366,2383,2373.880769230769,2.969148862190134,17,2116,2133,2125.95,3.098355523468369,17,1
1962,1983,1971.9692307692308,3.3564056467386156,21,2366,2387,2373.873076923077,3.0924066538828483,21,2116,2137,2126.0846153846155,3.654023255520681,21,1
1962,1983,1970.9153846153847,3.2939270559554665,21,2367,2387,2374.3038461538463,2.8413630924864606,20,2117,2137,2125.5576923076924,3.667731888000703,20,1
